类别,标题,链接,时间
[全部],11月黑猫投诉服饰领域红黑榜：NewBalance 双十一后降价严重,https://finance.sina.com.cn/heimao/2024-12-05/doc-incyksvq6607275.shtml,12-05 11:58
[全部],三大利好来袭！最强风口，持续发酵！机器人板块爆发,https://finance.sina.com.cn/stock/relnews/cn/2024-12-05/doc-incyksvt3075415.shtml,12-05 11:58
[全部],超百亿主力资金狂涌！Sora概念再走强，大数据产业ETF（516700）盘中上探1.78%，星环科技-U 20CM涨停封板,https://finance.sina.com.cn/money/fund/etf/2024-12-05/doc-incyksvt3074975.shtml,12-05 11:58
[全部],超百亿主力资金狂涌！Sora概念再走强，大数据产业ETF（516700）盘中上探1.78%，星环科技-U 20CM涨停封板,https://finance.sina.com.cn/money/fund/etf/2024-12-05/doc-incyksvt3074975.shtml,12-05 11:58
[全部],ASMPT早盘涨超3% 机构料半导体设备国产替代有望加速,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-05/doc-incyksvt3074335.shtml,12-05 11:57
[全部],映宇宙早盘涨逾3% 公司投资加密货币有望优化资产配置,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-05/doc-incyksvq6606288.shtml,12-05 11:56
[全部],联储证券原资管分公司总经理肖盼离任，拟任华兴证券自营总经理,https://finance.sina.com.cn/jjxw/2024-12-05/doc-incyksvt3074287.shtml,12-05 11:55
[全部],券商跨境理财通首战告捷，险资时隔5年再度举牌券商股！券商ETF（512000）盘中涨近2%，关注两大主线,https://finance.sina.com.cn/money/fund/etf/2024-12-05/doc-incyksvt3074196.shtml,12-05 11:54
[全部],摩根大通：韩国金融股下跌现买入良机，看好银行股回报提升,https://finance.sina.com.cn/stock/hkstock/hkstocknews/2024-12-05/doc-incyksvt3072302.shtml,12-05 11:52
[全部],对冲基金蜂拥至“比特币大户”MicroStrategy一举将它捧成“华尔街最热门交易”,https://finance.sina.com.cn/stock/hkstock/hkstocknews/2024-12-05/doc-incyksvt3082314.shtml,12-05 11:52
[全部],礼来畅销减肥药Mounjaro将于数月内在英国推出,https://finance.sina.com.cn/stock/hkstock/hkstocknews/2024-12-05/doc-incyksvu9848215.shtml,12-05 11:47
[全部],爱马仕即将涨价？客服：目前暂未接到价格调整通知,https://finance.sina.com.cn/stock/roll/2024-12-05/doc-incyksvn9827995.shtml,12-05 11:45
[全部],晋景新能早盘涨超3%再创新高 此前与华润晋扬达成合作,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-05/doc-incyksvn9826444.shtml,12-05 11:42
[全部],午评：玻璃、燃料油跌近4%,https://finance.sina.com.cn/money/future/fmnews/2024-12-05/doc-incyksvt3067536.shtml,12-05 11:41
[全部],蓄水池萎缩白酒押宝春节档,https://finance.sina.com.cn/zmt/2024-12-05/doc-incyksvt3070619.shtml,12-05 11:40
[全部],建行北分行长再获拔擢！张连钢出任农发行党委委员,https://finance.sina.com.cn/roll/2024-12-05/doc-incyksvt3073802.shtml,12-05 11:40
[全部],博雅互动早盘涨超19% 公司完成以太坊换购比特币,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-05/doc-incyksvn9825035.shtml,12-05 11:38
[全部],医渡科技早盘逆市涨超4% 近日持续获南向资金加持,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-05/doc-incyknpq9954283.shtml,12-05 11:35
[全部],人民币汇率跌破7.3，特朗普还没上台，美元就上演“大反转”,https://finance.sina.com.cn/jjxw/2024-12-05/doc-incyknpw9972794.shtml,12-05 11:33
[全部],高盛：维持康哲药业“买入”评级 目标价上调至12.82港元,https://finance.sina.com.cn/stock/hkstock/hkgg/2024-12-05/doc-incyknpq9952416.shtml,12-05 11:32
[全部],大和：下调赣锋锂业至“跑输大市” 目标价降至23港元,https://finance.sina.com.cn/stock/hkstock/hkgg/2024-12-05/doc-incyknpq9951540.shtml,12-05 11:31
[全部],午评：指数早盘低开高走 Sora概念集体爆发,https://finance.sina.com.cn/zxg/zxjx/2024-12-05/doc-incyknps6725090.shtml,12-05 11:30
[全部],未说明韩国转机需签证致未成年人无法登机，去哪儿网致歉：损失由平台承担,https://finance.sina.com.cn/chanjing/wddc/2024-12-05/doc-incyknpv3193253.shtml,12-05 11:30
[全部],11月黑猫投诉企业红黑榜：新购罗技鼠标异响维修无果拒绝换新,https://finance.sina.com.cn/heimao/2024-12-05/doc-incyknpv3193118.shtml,12-05 11:29
[全部],变相鼓励员工帮境外子公司“揽客” 弘业期货被监管要求增加合规检查,https://finance.sina.com.cn/jjxw/2024-12-05/doc-incyknpv3193184.shtml,12-05 11:26
[全部],A股多只大牛股跌停，这个板块率先拉升，啥情况？,https://finance.sina.com.cn/jjxw/2024-12-05/doc-incyknpv3192322.shtml,12-05 11:25
[全部],阿斯利康中国人事调整，林骁出任阿斯利康中国总经理,https://finance.sina.com.cn/roll/2024-12-05/doc-incyksvu9844657.shtml,12-05 11:23
[全部],央行的政策利率统一之路兼论货币政策展望,https://finance.sina.com.cn/money/forex/forexinfo/2024-12-05/doc-incyknpw9973266.shtml,12-05 11:22
[全部],欧洲央行行长：短期内欧元区经济可能放缓,https://finance.sina.com.cn/jjxw/2024-12-05/doc-incyknpw9970644.shtml,12-05 11:19
[全部],黑芝麻智能早盘涨逾6%创上市新高 下周一正式进入恒生综指,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-05/doc-incyknpq9945980.shtml,12-05 11:18
[全部],最新ADP和美联储预期对黄金的支撑有限，市场静待非农,https://finance.sina.com.cn/money/forex/hbfx/2024-12-05/doc-incyknpw9965805.shtml,12-05 11:16
[全部],创新奇智早盘涨超5% 机构看好国内AI应用产业爆发潜力,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-05/doc-incyknps6716303.shtml,12-05 11:09
[全部],莱茵生物实控人因证券操纵收200万罚单,https://finance.sina.com.cn/stock/gmwq/rightscase/2024-12-05/doc-incyknpv3184178.shtml,12-05 11:08
[全部],因虚增利润凯撒文化及六名高管收罚单,https://finance.sina.com.cn/stock/gmwq/rightscase/2024-12-05/doc-incyknpw9961123.shtml,12-05 11:08
[全部],ST凯文（凯撒文化）股票索赔：信披违法受处罚，投资者索赔案启动,https://finance.sina.com.cn/stock/gmwq/rightscase/2024-12-05/doc-incyknpw9961005.shtml,12-05 11:08
[全部],仁智股份（002629）收处罚决定书，股民索赔分析,https://finance.sina.com.cn/stock/gmwq/rightscase/2024-12-05/doc-incyknpw9960888.shtml,12-05 11:08
[全部],美团新一轮组织架构调整：核心本地商业整合升级研发平台,https://finance.sina.com.cn/roll/2024-12-05/doc-incyknpw9967017.shtml,12-05 11:08
[全部],奥联电子股票索赔已有损失测算案例，受损股民抓紧诉讼,https://finance.sina.com.cn/stock/gmwq/rightscase/2024-12-05/doc-incyknpw9960807.shtml,12-05 11:07
[全部],勇利投资盘中拉升逾34% 获华建有限公司折让约8.83%提全购要约,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-05/doc-incyknps6715203.shtml,12-05 11:07
[全部],韩国警方开始调查尹锡悦涉内乱罪,https://finance.sina.com.cn/world/2024-12-05/doc-incyknps6713836.shtml,12-05 11:03
[全部],负债、担保额居高不下，建艺集团面临财务挑战,https://finance.sina.com.cn/jjxw/2024-12-05/doc-incyknpw9957479.shtml,12-05 11:00
[全部],见证历史：比特币首破10万美元，下一站去哪？,https://finance.sina.com.cn/blockchain/roll/2024-12-05/doc-incyknpv3188054.shtml,12-05 10:58
[全部],10亿元合同缩水至6.46亿元 鸿博股份需加强合同风险管理,https://finance.sina.com.cn/roll/2024-12-05/doc-incyknpv3178910.shtml,12-05 10:57
[全部],光伏行业协会理事长曹仁贤：不要想着自己能活，别人一定会死,https://finance.sina.com.cn/stock/roll/2024-12-05/doc-incyknps6711053.shtml,12-05 10:57
[全部],创梦天地早盘涨超4% 《三角洲行动》今日起在全球地区展开PC公测,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-05/doc-incyknps6710679.shtml,12-05 10:56
[全部],日本央行本月加息预期降温 日元承压重回150上方,https://finance.sina.com.cn/stock/hkstock/hkstocknews/2024-12-05/doc-incyknpv3179309.shtml,12-05 10:55
[全部],最新！中天精装拟1元受让一企业100%股权！啥情况？,https://finance.sina.com.cn/roll/2024-12-05/doc-incyknpw9954859.shtml,12-05 10:55
[全部],康希诺现涨超5% 近日MCV4药品补充申请获国家药监局受理,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-05/doc-incyknpv3177225.shtml,12-05 10:54
[全部],李濮任贵州金沙窖酒酒业有限公司总经理,https://finance.sina.com.cn/chanjing/jync/jyr/2024-12-05/doc-incyknpv3177320.shtml,12-05 10:54
[全部],重磅！张春新或履新上海沛华集团任总裁,https://finance.sina.com.cn/chanjing/jync/jyr/2024-12-05/doc-incyknpw9954324.shtml,12-05 10:54
[全部],微创机器人再度配股，股价为何大挫16%？,https://finance.sina.com.cn/stock/relnews/hk/2024-12-05/doc-incyknpv3194077.shtml,12-05 10:53
[全部],金山云早盘涨超10% 近一个月股价累计上涨1.9倍,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-05/doc-incyknpv3176635.shtml,12-05 10:53
[全部],险资举牌热持续！ 新华保险举牌海通证券H股,https://finance.sina.com.cn/stock/relnews/cn/2024-12-05/doc-incyknps6709161.shtml,12-05 10:52
[全部],比特币突破10万美元大关 博雅互动涨近7%领跑相关概念股,https://finance.sina.com.cn/stock/relnews/hk/2024-12-05/doc-incyknpw9953724.shtml,12-05 10:51
[全部],花旗：降中信证券评级至“中性” 首选华泰证券、中国银河,https://finance.sina.com.cn/stock/hkstock/hkgg/2024-12-05/doc-incyknpw9952391.shtml,12-05 10:49
[全部],国投证券：予周大福“买入-A”评级 目标价8.02港元,https://finance.sina.com.cn/stock/hkstock/hkgg/2024-12-05/doc-incyknpw9951779.shtml,12-05 10:47
[全部],比特币升破10万美元 今年累计上涨138%！,https://finance.sina.com.cn/blockchain/roll/2024-12-05/doc-incyknpv3172680.shtml,12-05 10:42
[全部],稳增长效应显现，人民币汇率有望获得更强支撑,https://finance.sina.com.cn/jjxw/2024-12-05/doc-incyknpv3172457.shtml,12-05 10:41
[全部],监管调整回购增持专项贷细则 融资比例从最高70%提升到90%,https://finance.sina.com.cn/roll/2024-12-05/doc-incyknpv3180281.shtml,12-05 10:41
[全部],新规见成效 英国11月电动汽车销售占总注册量25%,https://finance.sina.com.cn/stock/hkstock/hkstocknews/2024-12-05/doc-incyknpv3175455.shtml,12-05 10:40
[全部],管不住嘴？两次泄露内幕信息，ST永悦实控人被罚400万元,https://finance.sina.com.cn/jjxw/2024-12-05/doc-incyknpw9949584.shtml,12-05 10:40
[全部],突发！A股多只大牛股，跌停！,https://finance.sina.com.cn/stock/marketresearch/2024-12-05/doc-incyknpq9929350.shtml,12-05 10:38
[全部],2025年投资策略会热词：新质生产力！自主可控关乎国家安全，硬科技宽基——双创龙头ETF（588330）逆市飘红,https://finance.sina.com.cn/money/fund/etf/2024-12-05/doc-incyknpq9927936.shtml,12-05 10:38
[全部],美联储“鹰声连连”！戴利：现在并不急于降息,https://finance.sina.com.cn/roll/2024-12-05/doc-incyknpw9951015.shtml,12-05 10:37
[全部],OpenAI连续12场直播来袭！一大堆东西要发布！AI应用再迎催化，信创ETF基金（562030）盘中上探1.63%,https://finance.sina.com.cn/money/fund/etf/2024-12-05/doc-incyknpq9927239.shtml,12-05 10:36
[全部],比特币首次突破10万美元 再创历史新高 市场对特朗普加密计划持乐观态度,https://finance.sina.com.cn/stock/usstock/c/2024-12-05/doc-incyknpq9926584.shtml,12-05 10:36
[全部],今年2万亿隐债置换进程已过半，江苏、湖南、贵州发行最多,https://finance.sina.com.cn/jjxw/2024-12-05/doc-incyknpv3171110.shtml,12-05 10:36
[全部],创造历史！历时5815天！BTC突破10万美元！,https://finance.sina.com.cn/blockchain/roll/2024-12-05/doc-incyknpv3175253.shtml,12-05 10:35
[全部],亿华通早盘急升逾26% 10月燃料电池系统装机量同比增长195.6%,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-05/doc-incyknps6700576.shtml,12-05 10:34
[全部],云南白药、片仔癀出资设立产业基金 意欲何为？,https://finance.sina.com.cn/stock/relnews/cn/2024-12-05/doc-incyknpv3172041.shtml,12-05 10:34
[全部],比特币价格触及10万美元，再创历史新高,https://finance.sina.com.cn/7x24/2024-12-05/doc-incyknpw9946669.shtml,12-05 10:34
[全部],日产电动汽车将接入特斯拉超级充电网络,https://finance.sina.com.cn/stock/usstock/c/2024-12-05/doc-incyksvn9855788.shtml,12-05 10:32
[全部],全球最长无人驾驶地铁在沙特利雅得投入运营,https://finance.sina.com.cn/jjxw/2024-12-05/doc-incyknpw9947317.shtml,12-05 10:32
[全部],“AI+金融”全面走强！金融科技ETF（159851）放量拉涨逾2%，信雅达快速涨停，大智慧斩获5天4板,https://finance.sina.com.cn/money/fund/etf/2024-12-05/doc-incyknpw9946140.shtml,12-05 10:31
[全部],突发丨金沙酒业重大人事变动：李濮任金沙酒业总经理、营销中心总经理，曾任雪花河南区域总经理,https://finance.sina.com.cn/chanjing/jync/2024-12-05/doc-incyknps6706053.shtml,12-05 10:31
[全部],普京：比特币比美元储备更好，没人能禁止比特币,https://finance.sina.com.cn/stock/t/2024-12-05/doc-incyknps6700229.shtml,12-05 10:30
[全部],新型“夫妻”联合经营模式挑战传统临床转化，能否走通源头创新“第一公里”?,https://finance.sina.com.cn/roll/2024-12-05/doc-incyknpw9949511.shtml,12-05 10:28
[全部],阿斯利康敲定王磊继任者,https://finance.sina.com.cn/jjxw/2024-12-05/doc-incyknpw9944734.shtml,12-05 10:28
[全部],险资五年来首度举牌券商，两大主线投资机会值得关注,https://finance.sina.com.cn/roll/2024-12-05/doc-incyknpw9944202.shtml,12-05 10:24
[全部],今年公募公司自购规模创新高，指数基金是买入重点,https://finance.sina.com.cn/jjxw/2024-12-05/doc-incyknpw9943180.shtml,12-05 10:24
[全部],运量运价双下滑，公路货运行业如何“反卷”?,https://finance.sina.com.cn/jjxw/2024-12-05/doc-incyknpv3164112.shtml,12-05 10:19
[全部],比亚迪电子现涨超3% 机构料消费电子产业链迎来发展机遇,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-05/doc-incyknpq9918743.shtml,12-05 10:18
[全部],华为MateX6一周使用体验：敢于重塑一切 所以强得飞起,https://finance.sina.com.cn/tech/mobile/n/n/2024-12-05/doc-incyknpq9918559.shtml,12-05 10:17
[全部],工信部电子信息司：光伏行业要避免非理性竞争，尤其是恶性竞争,https://finance.sina.com.cn/stock/roll/2024-12-05/doc-incyknpw9935790.shtml,12-05 10:10
[全部],12月USDA报告前瞻,https://finance.sina.com.cn/money/future/fmnews/2024-12-05/doc-incyknpq9916436.shtml,12-05 10:09
[全部],美国惊讶：“尹锡悦严重误判”！,https://finance.sina.com.cn/stock/t/2024-12-05/doc-incyknps6693065.shtml,12-05 10:07
[全部],特朗普提名币圈拥趸执掌美国证监会 比特币大涨冲向10万美元,https://finance.sina.com.cn/roll/2024-12-05/doc-incyknpw9938651.shtml,12-05 10:07
[全部],OpenAI“12天狂欢”!每日一款新品，AI领域掀起创新风暴,https://finance.sina.com.cn/stock/hkstock/hkstocknews/2024-12-05/doc-incyknpw9935158.shtml,12-05 10:05
[全部],卓创资讯：产区玉米有效供应宽松 玉米价格或仍有下跌空间,https://finance.sina.com.cn/money/future/2024-12-05/doc-incyknpw9932127.shtml,12-05 10:02
[全部],中金：予光大环境“跑赢行业”评级 目标价4.8港元,https://finance.sina.com.cn/stock/hkstock/hkgg/2024-12-05/doc-incyknpw9929727.shtml,12-05 09:58
[全部],欧洲央行管委Nagel：利率不应下调至中性水平以下,https://finance.sina.com.cn/stock/hkstock/ggscyd/2024-12-05/doc-incyknpv3156706.shtml,12-05 09:57
[全部],光大证券：维持华润置地“买入”评级 销售升至行业第三,https://finance.sina.com.cn/stock/hkstock/hkgg/2024-12-05/doc-incyknps6684094.shtml,12-05 09:57
[全部],美国新任SEC主席Paul Atkins出炉，加密货币一度走高,https://finance.sina.com.cn/blockchain/roll/2024-12-05/doc-incyknpw9929811.shtml,12-05 09:54
[全部],周道许：西部金融中心(重庆)建设经验的启示——降低融资成本，促进高质量发展,https://finance.sina.com.cn/money/bank/yhpl/2024-12-05/doc-incyknpw9949458.shtml,12-05 09:53
[全部],比特币概念股多数走高 美图公司涨超7%博雅互动涨逾3%,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-05/doc-incyknps6682573.shtml,12-05 09:52
[全部],“机动车辆安全统筹”是正规车险吗？,https://finance.sina.com.cn/money/insurance/bxdt/2024-12-05/doc-incyknps6681943.shtml,12-05 09:51
[全部],港股早盘低开 海通证券H股被举牌,https://finance.sina.com.cn/roll/2024-12-05/doc-incyknpv3148637.shtml,12-05 09:50
[全部],第四范式现涨超6% 广发证券给予“买入”评级,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-05/doc-incyknpw9925307.shtml,12-05 09:49
[全部],策略师：金价永远不会回到2000美元，将从目前的水平上涨3倍,https://finance.sina.com.cn/money/forex/hbfx/2024-12-05/doc-incyknpw9925110.shtml,12-05 09:48
[全部],速腾聚创盘中涨超8% 本周累计涨幅已逾35%,https://finance.sina.com.cn/stock/hkstock/marketalerts/2024-12-05/doc-incyknpq9906069.shtml,12-05 09:47
[全部],鲍威尔称对降息将更谨慎，暗示美联储将免受政府效率部削减,https://finance.sina.com.cn/jjxw/2024-12-05/doc-incyknpw9925654.shtml,12-05 09:45
[全部],日媒称央行内部避免过早加息的观点增强 市场升息押注骤减令日元承压,https://finance.sina.com.cn/stock/usstock/c/2024-12-05/doc-incyknpv3145560.shtml,12-05 09:44
[全部],“尹锡悦弹劾案”可能通不过了！韩国执政党决定反对,https://finance.sina.com.cn/roll/2024-12-05/doc-incyknpv3146332.shtml,12-05 09:41
[全部],11家新三板创新层公司降至基础层，今年多次发布降层风险的粤开证券在列,https://finance.sina.com.cn/jjxw/2024-12-05/doc-incyknpv3145302.shtml,12-05 09:41
[全部],超百家基金公司投资总监同时签字！新浪财经2024金麒麟最佳分析师评选秉持公开公平公正原则（附图）,https://finance.sina.com.cn/money/fund/jjyj/2024-12-05/doc-incyknpq9911181.shtml,12-05 09:40
[全部],豪掷近两亿，广州金控加速高校成果转化,https://finance.sina.com.cn/jjxw/2024-12-05/doc-incyknpv3145295.shtml,12-05 09:40
[全部],浙江龙盛：第三季度营业收入36.55亿元，同比增长1.23%,https://finance.sina.com.cn/stock/relnews/cn/2024-12-05/doc-incyknpw9920131.shtml,12-05 09:39
[全部],兴发集团：第三季度营业收入86.46亿元，同比增长3.54%,https://finance.sina.com.cn/stock/relnews/cn/2024-12-05/doc-incyknpq9902357.shtml,12-05 09:39
[全部],福斯达：第三季度营业收入达7.44亿元，同比增长34.39%,https://finance.sina.com.cn/stock/relnews/cn/2024-12-05/doc-incyknpv3142443.shtml,12-05 09:39
[全部],朱啸虎凌晨朋友圈炮轰张予彤！月之暗面仲裁事件再掀波澜,https://finance.sina.com.cn/stock/roll/2024-12-05/doc-incyknpv3149408.shtml,12-05 09:38
[全部],ST盛屯：第三季度营业收入62.44亿元，同比增长23.79%,https://finance.sina.com.cn/stock/relnews/cn/2024-12-05/doc-incyknpw9919294.shtml,12-05 09:38
[全部],新奥股份：第三季度营业收入31.75亿，同比增长10.46%,https://finance.sina.com.cn/stock/relnews/cn/2024-12-05/doc-incyknpq9901763.shtml,12-05 09:38
